state_1,price_1,load_1,month_1,year_1,coal_cost_1,CDD_1,HDD_1,date_1,state_2,price_2,load_2,month_2,year_2,coal_cost_2,CDD_2,HDD_2,date_2,ln_load_rel,ln_price_rel,ln_coal_rel,time_diff
new york,0.1954920867407136,5387.0,7,2011,44.63159607795272,307.0,1.0,7/2011,new york,0.18809050826105916,4332.0,9,2014,28.179659867241632,57.0,83.0,9/2014,0.21795931455965256,0.03859662767488836,0.4598416040553716,-38.0
new york,0.1954920867407136,5387.0,7,2011,44.63159607795272,307.0,1.0,7/2011,new york,0.18832994087428515,3515.0,10,2014,29.650092081031307,4.0,318.0,10/2014,0.4269491184357685,0.037324472317404316,0.40897680940882397,-39.0
new york,0.1954920867407136,5387.0,7,2011,44.63159607795272,307.0,1.0,7/2011,new york,0.18862435145226203,3598.0,11,2014,28.385782863792855,0.0,756.0,11/2014,0.40361050817005534,0.035762422786023616,0.4525536240115673,-40.0
new york,0.1954920867407136,5387.0,7,2011,44.63159607795272,307.0,1.0,7/2011,new york,0.18713018470118442,4183.0,12,2014,50.8535507126687,0.0,918.0,12/2014,0.2529599512383354,0.043715352066691,-0.1305079068004461,-41.0
new york,0.1954920867407136,5387.0,7,2011,44.63159607795272,307.0,1.0,7/2011,new york,0.1882022197709946,4660.0,1,2015,52.06797926651895,0.0,1304.0,1/2015,0.14497319556084212,0.03800287974996023,-0.15410811795662546,-42.0
new york,0.1954920867407136,5387.0,7,2011,44.63159607795272,307.0,1.0,7/2011,new york,0.1600943551271764,4342.0,1,2016,53.33578244182562,0.0,1114.0,1/2016,0.21565357224229667,0.19975654061416506,-0.1781654058481778,-54.0
new york,0.1954920867407136,5387.0,7,2011,44.63159607795272,307.0,1.0,7/2011,new york,0.1621705306343616,4084.0,2,2016,39.8846615319116,0.0,927.0,2/2016,0.27691174339597757,0.18687146176359667,0.1124502132201041,-55.0
new york,0.1954920867407136,5387.0,7,2011,44.63159607795272,307.0,1.0,7/2011,new york,0.16526078617581885,4839.0,1,2018,96.44712585889056,0.0,1246.0,1/2018,0.10728055588721518,0.16799515310915314,-0.7705528991745496,-78.0
new york,0.1954920867407136,5387.0,7,2011,44.63159607795272,307.0,1.0,7/2011,new york,0.1692141768009223,4097.0,2,2018,39.095912826806504,0.0,848.0,2/2018,0.27373364513366266,0.1443546706749438,0.13242411020361936,-79.0
new york,0.1954920867407136,5387.0,7,2011,44.63159607795272,307.0,1.0,7/2011,new york,0.16290307592231207,3932.0,3,2018,45.822878914599016,0.0,935.0,3/2018,0.31484044141347656,0.18236450387362615,-0.026341465564382417,-80.0
new york,0.1954920867407136,5387.0,7,2011,44.63159607795272,307.0,1.0,7/2011,new york,0.16687526074259493,3572.0,4,2018,36.13776479859083,0.0,677.0,4/2018,0.41086298068414406,0.15827330992087066,0.21110360560250382,-81.0
pennsylvania,0.1379226168680581,5399.0,7,2011,49.310386915659706,348.0,0.0,7/2011,pennsylvania,0.1382908667240768,3620.0,10,2011,35.904969353122944,2.0,393.0,10/2011,0.3997397253984702,-0.002666416348766103,0.31725903879413186,-3.0
pennsylvania,0.1379226168680581,5399.0,7,2011,49.310386915659706,348.0,0.0,7/2011,pennsylvania,0.1360860597727181,3735.0,11,2011,73.97783799086021,0.0,564.0,11/2011,0.36846593265136934,0.013405302492917937,-0.4056308149376296,-4.0
pennsylvania,0.1379226168680581,5399.0,7,2011,49.310386915659706,348.0,0.0,7/2011,pennsylvania,0.1280367366173035,4154.0,3,2012,39.413657920330465,5.0,509.0,3/2012,0.2621420257822293,0.07437555298241338,0.2240223428419017,-8.0
pennsylvania,0.1379226168680581,5399.0,7,2011,49.310386915659706,348.0,0.0,7/2011,pennsylvania,0.12986492845914313,3512.0,4,2012,29.147016711223255,0.0,464.0,4/2012,0.43002807546327965,0.0601978820908649,0.5257821819104951,-9.0
pennsylvania,0.1379226168680581,5399.0,7,2011,49.310386915659706,348.0,0.0,7/2011,pennsylvania,0.13072338776103493,3971.0,9,2014,30.049905518678234,60.0,83.0,9/2014,0.30719579908703554,0.053609233606245914,0.4952752299623621,-38.0
pennsylvania,0.1379226168680581,5399.0,7,2011,49.310386915659706,348.0,0.0,7/2011,pennsylvania,0.1300765726470873,3427.0,10,2014,28.399728603276145,4.0,333.0,10/2014,0.45452850834367814,0.0585694831333205,0.5517551579026438,-39.0
pennsylvania,0.1379226168680581,5399.0,7,2011,49.310386915659706,348.0,0.0,7/2011,pennsylvania,0.12640517668548334,5044.0,12,2014,53.768351097422354,0.0,911.0,12/2014,0.06801433313347678,0.08720034488235978,-0.08655027770319676,-41.0
pennsylvania,0.1379226168680581,5399.0,7,2011,49.310386915659706,348.0,0.0,7/2011,pennsylvania,0.1245570707613014,5914.0,1,2015,49.86187440820749,0.0,1252.0,1/2015,-0.09110867019413549,0.10192876998581905,-0.011121924013066243,-42.0
pennsylvania,0.1379226168680581,5399.0,7,2011,49.310386915659706,348.0,0.0,7/2011,pennsylvania,0.13254188458898483,5304.0,1,2016,44.7316776070921,0.0,1170.0,1/2016,0.01775249835258848,0.039794074967158616,0.0974528248712829,-54.0
